DATE,COUNT
2023-01-01,0
2023-01-02,148
2023-01-03,157
2023-01-04,153
2023-01-05,134
2023-01-06,162
2023-01-07,208
2023-01-08,151
2023-01-09,116
2023-01-10,149
2023-01-11,137
2023-01-12,122
2023-01-13,163
2023-01-14,174
2023-01-15,166
2023-01-16,129
2023-01-17,112
2023-01-18,131
2023-01-19,143
2023-01-20,157
2023-01-21,175
2023-01-22,148
2023-01-23,81
2023-01-24,113
2023-01-25,100
2023-01-26,99
2023-01-27,154
2023-01-28,159
2023-01-29,163
2023-01-30,138
2023-01-31,137
2023-02-01,114
2023-02-02,123
2023-02-03,148
2023-02-04,192
2023-02-05,177
2023-02-06,98
2023-02-07,110
2023-02-08,99
2023-02-09,130
2023-02-10,156
2023-02-11,188
2023-02-12,168
2023-02-13,120
2023-02-14,98
2023-02-15,92
2023-02-16,110
2023-02-17,171
2023-02-18,226
2023-02-19,187
2023-02-20,203
2023-02-21,181
2023-02-22,107
2023-02-23,74
2023-02-24,111
2023-02-25,167
2023-02-26,167
2023-02-27,79
2023-02-28,124
2023-03-01,112
2023-03-02,131
2023-03-03,181
2023-03-04,156
2023-03-05,202
2023-03-06,124
2023-03-07,125
2023-03-08,110
2023-03-09,120
2023-03-10,187
2023-03-11,209
2023-03-12,166
2023-03-13,115
2023-03-14,103
2023-03-15,108
2023-03-16,135
2023-03-17,177
2023-03-18,197
2023-03-19,199
2023-03-20,111
2023-03-21,129
2023-03-22,96
2023-03-23,109
2023-03-24,153
2023-03-25,197
2023-03-26,179
2023-03-27,119
2023-03-28,130
2023-03-29,89
2023-03-30,127
2023-03-31,216
2023-04-01,212
2023-04-02,183
2023-04-03,138
2023-04-04,155
2023-04-05,154
2023-04-06,158
2023-04-07,193
2023-04-08,218
2023-04-09,115
2023-04-10,110
2023-04-11,124
2023-04-12,131
2023-04-13,153
2023-04-14,186
2023-04-15,215
2023-04-16,188
2023-04-17,125
2023-04-18,118
2023-04-19,101
2023-04-20,140
2023-04-21,182
2023-04-22,186
2023-04-23,120
2023-04-24,90
2023-04-25,116
2023-04-26,108
2023-04-27,139
2023-04-28,205
2023-04-29,217
2023-04-30,218
2023-05-01,194
2023-05-02,125
2023-05-03,135
2023-05-04,100
2023-05-05,186
2023-05-06,232
2023-05-07,190
2023-05-08,148
2023-05-09,120
2023-05-10,124
2023-05-11,145
2023-05-12,195
